"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"1",1,1,"Education",0.461269730902312,0.419828940971721,0.222464714117698,10.2362225148505,178.219894782652,134.304628000822,180.344045385958,98329.6297462817,7418.35964062185,0.704493428820054,545.467620633959
"3",2,1,"Experience",0.377806466609133,0.329945425579066,-0.139947896025847,13.5262631047627,180.380437392816,135.956912833938,182.504587996122,113563.434761749,8567.65558113787,0.813637697511134,629.974675083667
"4",3,1,"Location",0.238464139074413,0.179884457464753,0.0593489393987147,19.0190019445919,183.411728479347,138.341673291223,185.535879082654,138996.346666667,10486.4107692308,0.995854587364229,771.059615384615
"5",4,1,"Age",0.221222158733462,0.161316170943728,-0.304004672406382,19.6986640169131,183.747556834026,138.610865529037,185.871707437333,142143.371514292,10723.8342414629,1.01840179242547,788.517223636975
"2",5,1,"Gender",0.123127477562652,0.055675745067472,-0.223670665763714,23.5654608099645,185.527093904817,140.05397038476,187.651244508124,160047.718518518,12074.605982906,1.14667945241807,887.838675213675
"8",6,2,"Education Location",0.600942019413171,0.534432355982033,0.348630248645779,6.73047693470536,175.718270340011,132.867179248277,178.550471144419,79457.9923725055,6303.15804878049,0.598586970880244,477.511973392461
"9",7,2,"Education Age",0.558862422979933,0.485339493476589,0.199352422201048,8.38921364294348,177.222021416123,133.791732122743,180.054222220531,87836.6250902712,6967.80920187247,0.6617063655301,527.864333475187
"13",8,2,"Experience Location",0.536076194721975,0.458755560508971,0.0433603607631108,9.28742456836753,177.977474413396,134.266102764195,180.809675217804,92373.6799524658,7327.71980392156,0.695885707917038,555.130288175876
"10",9,2,"Gender Experience",0.52750623757485,0.448757277170658,0.025897054517088,9.62524393245097,178.252037708161,134.440262625227,181.08423851257,94080.0775757575,7463.08307692307,0.708740643637725,565.385081585081
"7",10,2,"Education Experience",0.524805611972353,0.445606547301078,-0.0195920677471761,9.73169996344398,178.337528897799,134.494686317676,181.169729702208,94617.8096822767,7505.73971037291,0.712791582041471,568.61664472522
"12",11,2,"Gender Age",0.52050728217002,0.440591829198356,0.00793529412856275,9.90113593792047,178.472600131723,134.580863348253,181.304800936132,95473.666909204,7573.6322307782,0.71923907674497,573.760017483197
"6",12,2,"Education Gender",0.515506453209069,0.434757528743914,0.181426825702722,10.098263745035,178.628231202588,134.680449203058,181.460432006997,96469.4014860469,7652.62079096045,0.726740320186396,579.743999315186
"14",13,2,"Experience Age",0.386656851160003,0.284432993020003,-0.216414743419534,15.1773895655442,182.165538003966,137.031697753081,184.997738808375,122125.148758059,9687.81228128832,0.920014723259996,733.925172824873
"11",14,2,"Gender Location",0.361591616637066,0.25519021940991,0.0223174206879009,16.1654366983098,182.766342191964,137.448177799491,185.598542996373,127115.985454545,10083.72,0.957612575044402,763.918181818182
"15",15,2,"Location Age",0.323528018168194,0.210782687862893,-0.251450522093867,17.6658666781487,183.635034979594,138.05919726618,186.467235784003,134694.977139819,10684.9380904183,1.01470797274771,809.465006849875
"18",16,3,"Education Gender Age",0.714977005790235,0.637243461914845,0.390943290856344,4.23532883538413,172.670217400488,132.558106954357,176.210468406,62427.2451668925,5184.08067382411,0.492312444544139,409.269526880851
"22",17,3,"Gender Experience Location",0.683015534083607,0.596565225197318,0.271061232023387,5.4952189213837,174.264461062585,133.219610590809,177.804712068096,69427.6159112119,5765.40516745204,0.547518622946497,455.163565851477
"17",18,3,"Education Gender Location",0.66111616157743,0.568693296553093,0.351564830104502,6.35847085682014,175.266530360793,133.651237996199,178.806781366304,74224.1324176594,6163.71728992801,0.585344811820803,486.609259731159
"19",19,3,"Education Experience Location",0.653901007261473,0.559510372878238,0.205373016167851,6.64288521280069,175.582542128479,133.790389329435,179.12279313399,75804.4337145706,6294.94860391976,0.597807351093819,496.969626625244
"21",20,3,"Education Location Age",0.632981490962238,0.532885533951939,0.190472009023524,7.46751217088432,176.462853725635,134.186434507804,180.003104731146,80386.3369269972,6675.4388182384,0.633941061065226,527.008327755663
"16",21,3,"Education Gender Experience",0.611159565211708,0.505112173905811,0.00907401755700044,8.32771123064191,177.329205515509,134.589092797231,180.86945652102,85165.8906350024,7072.34231671786,0.671633478270686,558.342814477725
"23",22,3,"Gender Experience Age",0.602909090676803,0.494611569952295,-0.017130311027777,8.65293690130973,177.644148201881,134.738805155566,181.184399207392,86972.9532474829,7222.40433436265,0.685884297921885,570.189815870736
"24",23,3,"Gender Location Age",0.573226771644719,0.45683407300237,-0.0712657334777786,9.82298500864527,178.725461389009,135.266918376627,182.265712394521,93474.1319066829,7762.27493980322,0.737153758068212,612.811179458149
"20",24,3,"Education Experience Age",0.563056387354913,0.443889947542617,0.0151557683426055,10.2238916519672,179.078731832531,135.444300189386,182.618982838042,95701.7033181109,7947.25683148648,0.754720785477877,627.415013012091
"25",25,3,"Experience Location Age",0.543099077622732,0.418489735156204,-0.0288789111903831,11.0105893643126,179.74866803381,135.787376347747,183.288919039321,100072.858954086,8310.24615440398,0.789192502288009,656.072064821367
"28",26,4,"Education Gender Location Age",0.760749538672202,0.665049354141082,0.323705563232176,4.4310201690495,172.044333902052,134.683766971481,176.292635108665,58224.3363168038,5038.64448895418,0.478500922655597,419.887040746181
"26",27,4,"Education Gender Experience Location",0.744686269618891,0.642560777466448,0.305521902490661,5.06421859041044,173.019066086124,134.874156286539,177.267367292737,62133.5165729949,5376.93893420148,0.510627460762217,448.07824451679
"27",28,4,"Education Gender Experience Age",0.716274077567168,0.602783708594035,0.175033766896104,6.18419952921241,174.601800178705,135.21261750799,178.850101385319,69047.9484881361,5975.30323455024,0.567451844865665,497.94193621252
"30",29,4,"Gender Experience Location Age",0.693152048009725,0.570412867213614,0.126761593578952,7.09564741481056,175.776954841366,135.494643056892,180.025256047979,74674.9588512849,6462.25605443811,0.613695903980551,538.521337869843
"29",30,4,"Education Experience Location Age",0.65480241656822,0.516723383195508,0.13198190669276,8.6073525358507,177.543423904173,135.977771002475,181.791725110786,84007.7803066064,7269.90406499479,0.69039516686356,605.825338749566
"31",31,5,"Education Gender Experience Location Age",0.771683856745775,0.644841554937873,0.249749830340958,6,173.342638449842,137.885593564813,178.298989857557,62508.7630649244,5609.76078787783,0.532737667593191,500.871498917664
